Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
284,1,176.5,2,1,1,4
143,16,3689.33,2,4,4,10
415,2,3065.77,1,1,4,6
66,2,138.03,3,1,1,5
85,2,586.79,3,1,2,6
267,2,1597.76,2,1,3,6
353,1,383.7,2,1,2,5
78,4,2648.62,3,2,4,9
28,6,2464.89,3,3,4,10
1,5,2056.89,4,3,3,10
64,3,695.19,3,2,2,7
79,6,2582.51,3,3,4,10
143,1,599.68,2,1,2,5
39,2,192.72,3,2,1,6
2,30,4220.85,4,4,4,12
9,18,11091.36,4,4,4,12
491,8,835.1800000000001,1,3,2,6
1,3,1316.66,4,2,3,9
82,5,735.51,3,3,2,8
9,8,1922.28,4,3,3,10
523,2,311.78000000000003,1,2,1,4
60,12,3689.86,3,4,4,11
15,3,1899.05,4,2,3,9
30,1,349.83000000000004,3,1,2,6
619,6,1149.99,1,3,3,7
131,1,1089.18,2,1,3,6
92,2,716.35,3,2,2,7
8,5,4106.82,4,3,4,11
409,1,732.94,1,1,2,4
29,2,640.45,3,2,2,7
22,8,9498.9,4,3,4,11
20,36,22107.29,4,4,4,12
30,3,981.18,3,2,3,8
484,4,423.38,1,2,2,5
448,1,980.25,1,1,3,5
30,2,355.7,3,2,2,7
75,2,1000.39,3,2,3,8
47,3,1141.5,3,2,3,8
198,3,383.58,2,2,2,6
166,1,95.19999999999999,2,1,1,4
576,6,1575.68,1,3,3,7
79,1,964.83,3,1,3,7
358,1,168.0,2,1,1,4
39,2,437.82,3,2,2,7
8,17,4548.82,4,4,4,12
449,1,468.5,1,1,2,4
682,1,129.23,1,1,1,3
50,2,603.71,3,2,2,7
16,8,18716.14,4,3,4,11
2,2,1.0658141036401503e-14,4,2,1,7
311,3,536.21,2,2,2,6
5,4,2101.39,4,2,3,9
303,1,238.85,2,1,1,4
8,9,4966.92,4,4,4,12
409,1,249.24,1,1,1,3
261,1,456.9,2,1,2,5
282,2,131.17,2,2,1,5
73,2,346.7,3,2,2,7
23,17,13393.82,4,4,4,12
645,1,70.0,1,1,1,3
2,35,4064.9900000000002,4,4,4,12
682,1,77.52,1,1,1,3
40,2,519.61,3,2,2,7
9,3,1004.72,4,2,3,9
227,5,717.41,2,3,2,7
316,1,218.45,2,1,1,4
457,2,622.8199999999999,1,2,2,5
36,11,2083.87,3,4,3,10
35,9,1591.35,3,4,3,10
21,7,4572.45,4,3,4,11
73,3,410.72,3,2,2,7
247,2,1052.9,2,2,3,7
40,1,197.71,3,1,1,5
239,4,1980.4,2,2,3,7
3,31,14344.9,4,4,4,12
4,18,1893.95,4,4,3,11
234,4,1982.81,2,2,3,7
17,5,2028.67,4,3,3,10
8,1,144.0,4,1,1,6
39,5,938.98,3,3,3,9
29,11,3094.17,3,4,4,11
190,5,9853.48,2,3,4,9
317,3,1352.15,2,2,3,7
92,8,1152.62,3,3,3,9
109,3,418.09999999999997,2,2,2,6
38,17,5044.51,3,4,4,11
505,1,299.02,1,1,1,3
51,2,618.27,3,2,2,7
19,5,3683.13,4,3,4,11
10,15,4414.67,4,4,4,12
29,13,2296.72,3,4,4,11
29,26,4955.79,3,4,4,11
190,7,673.76,2,3,2,7
59,1,153.12,3,1,1,5
22,1,739.1999999999999,4,1,2,7
79,2,254.18,3,2,1,6
365,5,1217.95,2,3,3,8
682,1,21.0,1,1,1,3
58,2,3.552713678800501e-15,3,2,1,6
405,1,415.79,1,1,2,4
78,10,3417.86,3,4,4,11
23,7,2057.99,4,3,3,10
52,1,1193.32,3,1,3,7
58,2,643.59,3,2,2,7
31,13,6591.52,3,4,4,11
278,1,315.6,2,1,1,4
2,11,5564.88,4,4,4,12
85,7,1045.35,3,3,3,9
29,1,355.53,3,1,2,6
22,1,177.31,4,1,1,6
16,14,3354.95,4,4,4,12
15,3,1339.41,4,2,3,9
2,44,24579.31,4,4,4,12
232,1,180.1,2,1,1,4
276,9,3639.84,2,4,4,10
106,2,641.13,2,2,2,6
212,5,5095.38,2,3,4,9
23,13,6388.35,4,4,4,12
11,7,4478.53,4,3,4,11
4,4,769.61,4,3,2,9
386,2,1558.22,1,2,3,6
10,2,1270.88,4,2,3,9
57,7,3452.27,3,3,4,10
521,4,738.88,1,3,2,6
59,10,5595.21,3,4,4,11
536,2,490.0,1,2,2,5
90,4,2930.41,3,3,4,10
739,1,141.0,1,1,1,3
67,14,8271.66,3,4,4,11
33,2,921.49,3,2,3,8
239,3,1312.37,2,2,3,7
24,3,1174.58,4,2,3,9
115,1,185.9,2,1,1,4
25,3,1013.26,4,2,3,9
128,14,7880.9,2,4,4,10
130,6,1815.54,2,3,3,8
34,10,3499.1,3,4,4,11
5,2,1346.97,4,2,3,9
22,45,17682.79,4,4,4,12
155,5,1097.0,2,3,3,8
107,10,2238.7,2,4,4,10
3,1,314.44,4,1,1,6
335,5,365.3,2,3,2,7
322,3,1011.58,2,2,3,7
149,3,4160.83,2,2,4,8
11,5,601.98,4,3,2,9
424,1,261.35,1,1,1,3
17,12,6320.78,4,4,4,12
11,5,1152.06,4,3,3,10
19,1,686.05,4,1,2,7
30,1,91.68,3,1,1,5
11,1,245.1,4,1,1,6
436,1,162.0,1,1,1,3
1,22,6949.17,4,4,4,12
625,3,204.0,1,2,1,4
8,12,6052.04,4,4,4,12
325,5,301.45,2,3,1,6
359,2,1020.98,2,2,3,7
58,1,620.13,3,1,2,6
7,12,11380.710000000001,4,4,4,12
151,4,1607.73,2,3,3,8
10,8,3750.39,4,3,4,11
606,1,2622.481,1,1,4,6
330,3,410.5,2,2,2,6
5,3,1230.02,4,2,3,9
12,7,1919.31,4,3,3,10
554,4,934.8,1,3,3,7
25,12,2773.09,4,4,4,12
555,3,389.3,1,2,2,5
42,23,33851.13,3,4,4,11
52,9,1058.67,3,4,3,10
1,4,880.81,4,3,3,10
15,56,30551.76,4,4,4,12
4,53,23945.81,4,4,4,12
4,27,12418.6,4,4,4,12
8,7,2283.63,4,3,4,11
28,6,2863.08,3,3,4,10
372,1,178.28,2,1,1,4
481,2,2138.91,1,2,3,6
114,1,4873.8099999999995,2,1,4,7
26,2,1247.61,3,2,3,8
206,1,389.01,2,1,2,5
28,7,1170.4,3,3,3,9
637,1,110.95,1,1,1,3
121,11,1640.42,2,4,3,9
70,4,1839.45,3,3,3,9
7,7,1407.1200000000001,4,3,3,10
435,3,801.15,1,2,2,5
21,5,939.02,4,3,3,10
590,1,339.75,1,1,2,4
418,1,638.11,1,1,2,4
8,6,4867.99,4,3,4,11
80,6,2446.41,3,3,4,10
20,1,219.0,4,1,1,6
64,7,892.18,3,3,3,9
7,10,2220.84,4,4,4,12
15,22,11554.0,4,4,4,12
682,1,-91.89,1,1,1,3
292,1,603.42,2,1,2,5
30,30,5118.16,3,4,4,11
3,55,30312.61,4,4,4,12
97,4,1130.57,2,3,3,8
612,2,1339.05,1,2,3,6
23,28,6979.66,4,4,4,12
1,1,848.55,4,1,3,8
9,12,14093.71,4,4,4,12
106,1,353.86,2,1,2,5
4,2,1053.49,4,2,3,9
151,4,1258.91,2,3,3,8
71,1,238.25,3,1,1,5
5,3,608.1,4,2,2,8
3,41,8047.88,4,4,4,12
32,10,3906.68,3,4,4,11
85,6,904.33,3,3,3,9
4,5,725.07,4,3,2,9
5,7,2317.52,4,3,4,11
371,4,2694.56,2,3,4,9
28,11,4014.6,3,4,4,11
11,12,5646.53,4,4,4,12
71,5,1070.17,3,3,3,9
114,1,453.01,2,1,2,5
522,1,829.25,1,1,2,4
24,19,25673.21,4,4,4,12
180,1,236.26000000000002,2,1,1,4
234,6,2326.82,2,3,4,9
353,3,639.65,2,2,2,6
315,2,779.5699999999999,2,2,2,6
333,1,234.0,2,1,1,4
499,2,3710.5,1,2,4,7
372,1,310.7,2,1,1,4
78,4,2726.73,3,3,4,10
64,1,427.6,3,1,2,6
529,2,406.07,1,2,2,5
600,2,1185.02,1,2,3,6
134,2,546.43,2,2,2,6
52,14,13158.16,3,4,4,11
487,3,925.41,1,2,3,6
528,3,230.85000000000002,1,2,1,4
2,32,9164.59,4,4,4,12
1,365,49970.13,4,4,4,12
4,16,6328.49,4,4,4,12
129,1,275.88,2,1,1,4
445,1,268.27,1,1,1,3
81,1,4366.78,3,1,4,8
4,11,21024.01,4,4,4,12
236,5,2949.12,2,3,4,9
250,22,6406.349999999999,2,4,4,10
87,1,112.07999999999998,3,1,1,5
16,19,4227.7,4,4,4,12
117,8,9779.0,2,3,4,9
52,8,5020.74,3,3,4,10
456,1,347.8,1,1,2,4
458,2,782.95,1,2,2,5
8,2,1898.52,4,2,3,9
138,2,814.16,2,2,2,6
317,1,1693.88,2,1,3,6
472,6,1404.58,1,3,3,7
4,11,10026.43,4,4,4,12
376,1,949.82,2,1,3,6
432,2,3.552713678800501e-15,1,2,1,4
239,1,1143.6,2,1,3,6
211,7,2975.95,2,3,4,9
465,2,262.5,1,2,1,4
60,1,892.47,3,1,3,7
564,2,1.7763568394002505e-15,1,2,1,4
536,1,98.7,1,1,1,3
17,8,1651.32,4,3,3,10
668,1,55.5,1,1,1,3
458,1,519.45,1,1,2,4
20,10,1757.68,4,4,3,11
21,21,6406.76,4,4,4,12
599,1,337.4,1,1,2,4
21,5,707.72,4,3,2,9
5,14,4526.04,4,4,4,12
2,8,1603.87,4,3,3,10
9,3,1804.75,4,2,3,9
3,5,1079.31,4,3,3,10
610,1,728.5,1,1,2,4
10,5,859.18,4,3,3,10
463,4,444.9,1,3,2,6
65,3,273.35,3,2,1,6
192,3,563.45,2,2,2,6
374,8,777.75,2,3,2,7
257,3,813.88,2,2,2,6
335,3,1017.33,2,2,3,7
53,2,860.41,3,2,3,8
19,1,430.48,4,1,2,7
628,1,381.0,1,1,2,4
360,6,725.46,2,3,2,7
10,4,8510.93,4,3,4,11
529,1,219.35,1,1,1,3
470,3,584.25,1,2,2,5
478,2,1031.87,1,2,3,6
184,9,2350.42,2,4,4,10
393,1,1092.81,1,1,3,5
466,2,327.02,1,2,2,5
382,4,1434.95,1,3,3,7
435,4,2878.96,1,3,4,8
383,3,269.95,1,2,1,4
37,5,906.1,3,3,3,9
168,8,1705.34,2,3,3,8
535,2,534.99,1,2,2,5
261,5,1033.9,2,3,3,8
45,1,229.64000000000001,3,1,1,5
502,3,1687.8,1,2,3,6
102,1,125.92,2,1,1,4
148,2,1063.46,2,2,3,7
96,2,572.2,3,2,2,7
281,3,690.98,2,2,2,6
178,2,1517.88,2,2,3,7
458,1,540.52,1,1,2,4
3,13,2647.94,4,4,4,12
214,2,220.8,2,2,1,5
71,3,918.98,3,2,3,8
75,18,6501.5,3,4,4,11
60,1,397.12,3,1,2,6
521,2,518.63,1,2,2,5
3,15,2928.69,4,4,4,12
6,3,430.15000000000003,4,2,2,8
3,6,1018.71,4,3,3,10
322,4,345.35,2,3,2,7
38,7,6748.4,3,3,4,10
262,3,451.11,2,2,2,6
32,2,383.03,3,2,2,7
145,1,417.38,2,1,2,5
283,1,312.38,2,1,1,4
418,49,6018.67,1,4,4,9
59,17,6546.47,3,4,4,11
173,2,688.41,2,2,2,6
34,12,3376.03,3,4,4,11
3,31,9927.83,4,4,4,12
144,11,4013.87,2,4,4,10
5,42,7390.4800000000005,4,4,4,12
70,4,1917.99,3,3,3,9
66,34,6345.61,3,4,4,11
29,4,648.6,3,3,2,8
267,4,354.09,2,3,2,7
682,1,15.58,1,1,1,3
22,2,1636.8999999999999,4,2,3,9
676,1,208.0,1,1,1,3
31,6,3090.56,3,3,4,10
446,1,330.0,1,1,2,4
97,2,284.13,2,2,1,5
290,2,299.75,2,2,1,5
108,16,3728.5,2,4,4,10
79,11,2922.37,3,4,4,11
373,4,650.9399999999999,2,3,2,7
8,8,2162.68,4,3,3,10
211,7,3684.25,2,3,4,9
383,2,151.73,1,2,1,4
459,1,575.1,1,1,2,4
693,1,55.47,1,1,1,3
620,1,68.25,1,1,1,3
426,2,1008.3199999999999,1,2,3,6
52,7,2775.5499999999997,3,3,4,10
138,2,299.57,2,2,1,5
26,5,3303.31,3,3,4,10
283,3,1227.35,2,2,3,7
26,16,7862.69,3,4,4,11
186,8,2247.06,2,3,4,9
682,1,337.66999999999996,1,1,2,4
366,4,1647.15,2,3,3,8
84,3,744.02,3,2,2,7
327,13,3678.34,2,4,4,10
282,3,2027.3,2,2,3,7
385,3,933.42,1,2,3,6
143,5,1356.99,2,3,3,8
58,5,4068.59,3,3,4,10
4,20,2955.17,4,4,4,12
18,3,841.64,4,2,2,8
45,4,552.5699999999999,3,3,2,8
382,2,640.13,1,2,2,5
276,1,298.0,2,1,1,4
9,2,1463.04,4,2,3,9
25,4,703.47,4,3,2,9
88,1,309.05,3,1,1,5
63,4,1158.27,3,3,3,9
68,3,1351.09,3,2,3,8
384,1,222.4,1,1,1,3
214,4,313.77,2,3,1,6
381,6,365.66,2,3,2,7
24,2,717.27,4,2,2,8
186,12,819.5,2,4,2,8
397,1,263.38,1,1,1,3
31,1,188.14,3,1,1,5
575,1,157.35,1,1,1,3
42,3,347.3,3,2,2,7
731,1,-29.75,1,1,1,3
205,4,514.25,2,3,2,7
464,2,310.96000000000004,1,2,1,4
414,1,366.4,1,1,2,4
422,1,340.33,1,1,2,4
9,36,16293.1,4,4,4,12
265,1,138.68,2,1,1,4
429,1,833.53,1,1,2,4
18,2,509.58,4,2,2,8
577,3,1011.82,1,2,3,6
12,5,2919.81,4,3,4,11
396,3,440.36,1,2,2,5
59,7,1272.0,3,3,3,9
40,13,3034.77,3,4,4,11
23,14,5747.02,4,4,4,12
552,1,1680.47,1,1,3,5
3,5,1662.3,4,3,3,10
5,13,6700.860000000001,4,4,4,12
401,1,223.98,1,1,1,3
149,8,1084.85,2,3,3,8
139,8,4630.22,2,3,4,9
128,8,4329.5,2,3,4,9
626,3,-10953.5,1,2,1,4
8,8,1301.44,4,3,3,10
17,4,488.09000000000003,4,3,2,9
4,103,34639.45,4,4,4,12
161,1,405.38,2,1,2,5
64,3,789.87,3,2,2,7
88,14,2423.15,3,4,4,11
5,3,729.3299999999999,4,2,2,8
411,4,1548.46,1,3,3,7
395,1,197.31,1,1,1,3
35,12,4304.89,3,4,4,11
122,2,105.1,2,2,1,5
78,4,409.9,3,3,2,8
22,71,71299.67,4,4,4,12
539,8,1698.56,1,3,3,7
24,11,1627.28,4,4,3,11
737,1,181.65,1,1,1,3
2,19,4182.01,4,4,4,12
17,5,1012.9,4,3,3,10
15,9,3097.61,4,4,4,12
26,1,114.14,3,1,1,5
64,20,25264.8,3,4,4,11
46,4,876.29,3,3,3,9
724,1,377.49,1,1,2,4
131,3,942.65,2,2,3,7
301,4,489.0,2,3,2,7
36,2,604.51,3,2,2,7
288,2,900.11,2,2,3,7
437,1,324.45,1,1,1,3
144,11,1711.33,2,4,3,9
16,10,2306.18,4,4,4,12
31,28,15391.0,3,4,4,11
2,3,1843.0,4,2,3,9
9,20,3164.42,4,4,4,12
6,5,1382.8400000000001,4,3,3,10
10,2,828.8100000000001,4,2,2,8
639,1,162.45,1,1,1,3
1,14,4734.26,4,4,4,12
306,4,521.89,2,3,2,7
4,21,8628.42,4,4,4,12
400,2,539.49,1,2,2,5
484,2,133.35,1,2,1,4
414,4,1322.07,1,3,3,7
379,1,211.99,2,1,1,4
7,2,266.39,4,2,1,7
8,14,3512.79,4,4,4,12
437,1,132.24,1,1,1,3
89,1,771.91,3,1,2,6
10,1,160.18,4,1,1,6
3,5,3840.77,4,3,4,11
112,1,135.95,2,1,1,4
603,1,122.45,1,1,1,3
7,10,1524.97,4,4,3,11
4,120,15482.74,4,4,4,12
414,6,1115.95,1,3,3,7
414,1,385.55,1,1,2,4
198,2,408.95,2,2,2,6
430,8,1993.99,1,3,3,7
212,8,3156.38,2,3,4,9
156,4,517.63,2,3,2,7
385,6,2496.07,1,3,4,8
729,2,479.53999999999996,1,2,2,5
156,26,15909.390000000001,2,4,4,10
30,2,372.21999999999997,3,2,2,7
240,17,2562.12,2,4,4,10
598,1,490.08000000000004,1,1,2,4
19,1,97.5,4,1,1,6
1,3,1215.6200000000001,4,2,3,9
403,12,1991.5900000000001,1,4,3,8
74,6,1298.51,3,3,3,9
292,1,535.32,2,1,2,5
3,39,12846.8,4,4,4,12
31,7,955.5,3,3,3,9
23,3,764.82,4,2,2,8
725,1,93.35000000000001,1,1,1,3
23,10,1191.26,4,4,3,11
4,5,902.22,4,3,3,10
78,2,200.72,3,2,1,6
376,1,355.5,2,1,2,5
22,16,2065.11,4,4,3,11
493,4,897.38,1,3,3,7
196,3,455.88,2,2,2,6
107,5,965.0,2,3,3,8
4,37,24136.05,4,4,4,12
318,3,414.13,2,2,2,6
106,3,149.05,2,2,1,5
12,46,11143.99,4,4,4,12
174,6,935.03,2,3,3,8
56,1,81.57,3,1,1,5
580,1,175.25,1,1,1,3
323,7,543.28,2,3,2,7
673,1,234.0,1,1,1,3
374,2,330.12,2,2,2,6
372,1,101.10000000000001,2,1,1,4
9,15,2591.1800000000003,4,4,4,12
1,31,12601.82,4,4,4,12
3,18,5220.83,4,4,4,12
53,14,6465.72,3,4,4,11
73,3,789.89,3,2,2,7
7,1,204.0,4,1,1,6
16,37,9742.81,4,4,4,12
379,8,1212.95,2,3,3,8
548,5,606.96,1,3,2,6
4,24,4786.38,4,4,4,12
430,1,65.3,1,1,1,3
64,3,1449.03,3,2,3,8
464,3,535.42,1,2,2,5
732,1,323.39,1,1,1,3
1,13,1690.12,4,4,3,11
114,23,17148.0,2,4,4,10
23,3,659.68,4,2,2,8
31,5,1927.3,3,3,3,9
11,2,1227.22,4,2,3,9
407,5,3419.27,1,3,4,8
39,11,2817.59,3,4,4,11
357,2,220.55,2,2,1,5
55,3,922.68,3,2,3,8
58,4,1328.95,3,3,3,9
685,1,307.1,1,1,1,3
138,16,3842.55,2,4,4,10
80,3,908.46,3,2,3,8
584,4,1010.73,1,3,3,7
9,2,676.99,4,2,2,8
451,4,799.13,1,3,2,6
584,4,1522.79,1,3,3,7
254,2,471.57,2,2,2,6
291,13,4824.2,2,4,4,10
99,3,808.92,2,2,2,6
31,3,949.25,3,2,3,8
32,42,8466.72,3,4,4,11
14,13,4035.16,4,4,4,12
64,5,1384.14,3,3,3,9
9,57,11822.44,4,4,4,12
579,2,155.8,1,2,1,4
212,7,3168.53,2,3,4,9
622,1,127.65,1,1,1,3
682,1,-14.0,1,1,1,3
64,6,2292.5099999999998,3,3,4,10
551,1,209.48,1,1,1,3
530,4,540.74,1,3,2,6
25,3,271.40000000000003,4,2,1,7
250,12,2272.62,2,4,4,10
254,1,307.53,2,1,1,4
72,1,248.61,3,1,1,5
191,1,346.98,2,1,2,5
481,1,188.4,1,1,1,3
13,6,1680.74,4,3,3,10
373,6,1255.96,2,3,3,8
24,3,430.9,4,2,2,8
82,3,508.51,3,2,2,7
10,2,344.0,4,2,2,8
1,42,8747.47,4,4,4,12
192,5,743.9,2,3,2,7
612,1,129.22,1,1,1,3
267,1,177.15,2,1,1,4
411,2,418.08,1,2,2,5
511,5,1362.8400000000001,1,3,3,7
130,1,919.61,2,1,3,6
458,1,135.4,1,1,1,3
1,14,3040.17,4,4,4,12
1,95,28883.83,4,4,4,12
4,6,419.18,4,3,2,9
179,5,260.83,2,3,1,6
1,44,58328.15,4,4,4,12
126,25,7268.92,2,4,4,10
4,3,395.43,4,2,2,8
488,2,116.44999999999999,1,2,1,4
158,10,1459.46,2,4,3,9
383,1,439.33000000000004,1,1,2,4
726,1,313.64,1,1,1,3
417,1,236.11,1,1,1,3
3,247,113214.19,4,4,4,12
9,30,13771.28,4,4,4,12
21,6,-130.21999999999997,4,3,1,8
71,15,2007.33,3,4,3,10
267,88,54073.729999999996,2,4,4,10
21,17,2214.6600000000003,4,4,4,12
71,1,74.39999999999999,3,1,1,5
394,1,419.70000000000005,1,1,2,4
33,40,12861.73,3,4,4,11
1,41,28658.88,4,4,4,12
99,1,207.35999999999999,2,1,1,4
625,1,-1598.67,1,1,1,3
234,4,695.4,2,3,2,7
1,42,11440.12,4,4,4,12
40,3,709.64,3,2,2,7
3,9,1709.1,4,4,3,11
436,1,72.0,1,1,1,3
129,3,586.46,2,2,2,6
44,15,5109.62,3,4,4,11
373,2,1098.52,2,2,3,7
3,7,1107.58,4,3,3,10
31,14,2896.17,3,4,4,11
719,1,321.88000000000005,1,1,1,3
541,3,-5.44,1,2,1,4
1,60,16600.25,4,4,4,12
731,1,234.38,1,1,1,3
9,23,5374.45,4,4,4,12
117,2,485.19,2,2,2,6
22,19,2642.11,4,4,4,12
20,12,2334.1,4,4,4,12
669,1,134.9,1,1,1,3
239,1,30.599999999999998,2,1,1,4
269,2,254.73,2,2,1,5
94,2,922.39,3,2,3,8
473,2,506.75,1,2,2,5
90,4,4782.45,3,3,4,10
524,1,158.57,1,1,1,3
5,19,3902.47,4,4,4,12
78,1,259.17,3,1,1,5
631,1,263.5,1,1,1,3
452,2,233.25,1,2,1,4
94,1,64.0,3,1,1,5
23,8,3279.77,4,3,4,11
262,1,77.3,2,1,1,4
274,3,200.45000000000002,2,2,1,5
73,9,2422.28,3,4,4,11
197,2,3371.45,2,2,4,8
50,24,6077.8,3,4,4,11
11,17,7667.37,4,4,4,12
22,8,1454.49,4,3,3,10
16,9,8193.83,4,4,4,12
108,5,1215.68,2,3,3,8
85,21,7536.63,3,4,4,11
19,1,307.09,4,1,1,6
582,2,399.2,1,2,2,5
333,2,135.35,2,2,1,5
40,8,1419.77,3,3,3,9
26,1,228.91,3,1,1,5
10,4,712.8000000000001,4,3,2,9
29,36,8123.6,3,4,4,11
14,4,1676.06,4,3,3,10
471,4,435.02,1,3,2,6
203,5,2511.69,2,3,4,9
417,9,2114.98,1,4,3,8
6,1,486.22,4,1,2,7
144,5,997.4300000000001,2,3,3,8
33,6,1750.18,3,3,3,9
385,3,1586.54,1,2,3,6
49,10,5667.71,3,4,4,11
95,5,1508.18,3,3,3,9
9,5,1379.75,4,3,3,10
22,1,91.8,4,1,1,6
313,2,478.88,2,2,2,6
122,19,9116.94,2,4,4,10
610,2,0.0,1,2,1,4
569,3,297.46000000000004,1,2,1,4
46,3,1451.16,3,2,3,8
282,3,881.68,2,2,3,7
19,5,1125.15,4,3,3,10
36,6,1866.26,3,3,3,9
